Marka,Isletim_Sistemi,Dahili_Hafiza,On_Kamera_Cozunurlugu,Arka_Kamera_Cozunurlugu,Bellek_Kapasitesi,Batarya_Kapasitesi,Fiyat
17,0,128.0,32.0,64.0,8.0,7000.0,4999.0
17,0,128.0,32.0,64.0,6.0,6000.0,3239.0
17,0,64.0,20.0,48.0,4.0,6000.0,26.0
21,0,128.0,20.0,64.0,6.0,5160.0,3790.0
21,0,128.0,16.0,64.0,6.0,5020.0,3715.0
17,0,32.0,8.0,13.0,3.0,5000.0,2340.0
21,0,64.0,16.0,64.0,6.0,5020.0,34.0
1,1,64.0,7.0,12.0,3.0,1821.0,4983.0
21,0,128.0,13.0,48.0,4.0,5020.0,2949.0
21,0,128.0,13.0,48.0,4.0,5020.0,2729.0
21,0,128.0,13.0,48.0,4.0,5020.0,2750.0
17,0,128.0,16.0,12.0,8.0,4100.0,7099.0
5,0,128.0,16.0,48.0,6.0,4050.0,2350.0
1,1,128.0,7.0,12.0,3.0,2691.0,6239.0
1,1,64.0,12.0,12.0,4.0,3046.0,7490.0
1,1,64.0,12.0,12.0,4.0,3046.0,7559.0
21,0,64.0,13.0,48.0,3.0,5020.0,2829.0
21,0,128.0,13.0,48.0,4.0,5020.0,30.0
17,0,64.0,13.0,48.0,4.0,5000.0,2689.0
5,0,64.0,8.0,13.0,4.0,4000.0,1880.0
8,0,128.0,16.0,48.0,6.0,4200.0,3078.0
1,1,64.0,12.0,12.0,4.0,3046.0,7559.0
21,0,64.0,20.0,64.0,6.0,4500.0,3130.0
17,0,128.0,32.0,12.0,6.0,4500.0,4839.0
8,0,128.0,16.0,16.0,4.0,4000.0,2749.0
17,0,128.0,32.0,12.0,6.0,4500.0,6179.0
1,1,64.0,12.0,12.0,4.0,3046.0,7490.0
17,0,32.0,8.0,13.0,2.0,4000.0,2279.0
21,0,64.0,16.0,48.0,4.0,5020.0,3.0
21,0,64.0,16.0,64.0,6.0,5260.0,3849.0
21,0,128.0,13.0,48.0,4.0,5020.0,2949.0
17,0,64.0,13.0,48.0,4.0,5000.0,2689.0
17,0,32.0,8.0,13.0,2.0,4000.0,2279.0
13,0,128.0,16.0,48.0,4.0,4880.0,3028.0
13,0,32.0,12.0,12.0,2.0,5000.0,2499.0
3,0,128.0,25.0,48.0,6.0,4510.0,3381.0
13,0,32.0,8.0,13.0,3.0,4230.0,2199.0
18,0,64.0,16.0,48.0,6.0,4500.0,35.0
13,0,64.0,8.0,12.0,4.0,4230.0,2539.0
1,1,64.0,12.0,12.0,4.0,3969.0,12779.0
5,0,64.0,8.0,13.0,4.0,4000.0,1873.0
21,0,64.0,20.0,64.0,6.0,4500.0,3130.0
17,0,128.0,32.0,12.0,6.0,4500.0,6179.0
17,0,64.0,13.0,48.0,4.0,5000.0,2664.0
17,0,128.0,20.0,48.0,4.0,5000.0,2999.0
21,0,64.0,16.0,64.0,6.0,5020.0,34.0
13,0,128.0,44.0,48.0,8.0,4025.0,3929.0
17,0,256.0,10.0,12.0,12.0,4300.0,8548.0
17,0,32.0,8.0,13.0,2.0,4000.0,2251.0
21,0,128.0,16.0,64.0,8.0,5260.0,42.0
21,0,128.0,16.0,64.0,6.0,5260.0,4044.0
21,0,128.0,16.0,64.0,6.0,5020.0,3679.0
1,1,64.0,12.0,12.0,4.0,3190.0,11129.0
21,0,128.0,16.0,64.0,6.0,5260.0,4099.0
18,0,64.0,16.0,48.0,6.0,4000.0,28.0
8,0,128.0,24.0,48.0,4.0,3340.0,28889.0
21,0,64.0,13.0,48.0,3.0,5020.0,2799.0
21,0,128.0,16.0,48.0,6.0,4160.0,4299.0
17,0,8.0,5.0,8.0,1.5,2600.0,12999.0
5,0,128.0,16.0,48.0,6.0,4050.0,2318.0
13,0,128.0,16.0,48.0,8.0,4000.0,3239.0
21,0,128.0,16.0,48.0,6.0,5020.0,3234.0
1,1,32.0,7.0,12.0,2.0,1960.0,3799.0
17,0,128.0,32.0,64.0,8.0,4500.0,4049.0
21,0,64.0,8.0,13.0,4.0,5020.0,2530.0
21,0,64.0,16.0,48.0,4.0,5020.0,3.0
21,0,64.0,16.0,64.0,6.0,5260.0,3849.0
21,0,128.0,13.0,48.0,4.0,5020.0,2949.0
17,0,64.0,13.0,48.0,4.0,5000.0,2689.0
17,0,32.0,8.0,13.0,2.0,4000.0,2279.0
13,0,128.0,16.0,48.0,4.0,4880.0,3028.0
13,0,32.0,12.0,12.0,2.0,5000.0,2499.0
3,0,128.0,25.0,48.0,6.0,4510.0,3381.0
13,0,32.0,8.0,13.0,3.0,4230.0,2199.0
18,0,64.0,16.0,48.0,6.0,4500.0,35.0
13,0,64.0,8.0,12.0,4.0,4230.0,2539.0
21,0,128.0,13.0,48.0,4.0,5020.0,2750.0
20,0,8.0,5.0,8.0,1.0,2350.0,1099.0
17,0,128.0,32.0,64.0,8.0,4500.0,4039.0
17,0,128.0,32.0,64.0,8.0,4500.0,4039.0
21,0,32.0,5.0,13.0,2.0,5000.0,2096.0
1,1,64.0,12.0,12.0,4.0,3190.0,114199.0
1,1,256.0,12.0,12.0,4.0,3110.0,8829.0
21,0,128.0,20.0,64.0,6.0,4500.0,3249.0
8,0,32.0,8.0,13.0,3.0,3020.0,2019.0
1,1,64.0,12.0,12.0,4.0,3046.0,7559.0
21,0,128.0,13.0,48.0,4.0,5020.0,30.0
1,1,64.0,12.0,12.0,4.0,3046.0,7490.0
17,0,256.0,10.0,108.0,8.0,4500.0,11749.0
1,1,128.0,12.0,12.0,4.0,3046.0,8178.0
21,0,128.0,13.0,48.0,4.0,5020.0,30.0
17,0,128.0,20.0,48.0,4.0,5000.0,2949.0
5,0,64.0,8.0,13.0,4.0,4000.0,2033.0
8,0,32.0,8.0,13.0,2.0,3020.0,1850.0
1,1,64.0,12.0,12.0,4.0,3046.0,7559.0
21,0,128.0,13.0,48.0,4.0,5020.0,30.0
21,0,32.0,5.0,12.0,2.0,4000.0,2089.0
21,0,64.0,13.0,48.0,3.0,5020.0,2799.0
21,0,64.0,16.0,48.0,4.0,5020.0,3.0
5,0,128.0,16.0,48.0,6.0,4050.0,2289.0
1,1,64.0,12.0,12.0,4.0,3046.0,7559.0
17,0,128.0,32.0,64.0,6.0,6000.0,2999.0
21,0,64.0,20.0,64.0,6.0,4500.0,3319.0
21,0,64.0,16.0,48.0,4.0,5020.0,3.0
21,0,64.0,16.0,64.0,6.0,5260.0,3849.0
21,0,128.0,13.0,48.0,4.0,5020.0,2949.0
17,0,64.0,13.0,48.0,4.0,5000.0,2689.0
17,0,32.0,8.0,13.0,2.0,4000.0,2279.0
13,0,128.0,16.0,48.0,4.0,4880.0,3028.0
13,0,32.0,12.0,12.0,2.0,5000.0,2499.0
3,0,128.0,25.0,48.0,6.0,4510.0,3381.0
13,0,32.0,8.0,13.0,3.0,4230.0,2199.0
18,0,64.0,16.0,48.0,6.0,4500.0,35.0
13,0,64.0,8.0,12.0,4.0,4230.0,2539.0
15,0,128.0,20.0,64.0,6.0,4700.0,6799.0
17,0,32.0,8.0,13.0,2.0,4000.0,2410.0
1,1,64.0,7.0,12.0,3.0,1821.0,4921.0
1,1,64.0,7.0,12.0,3.0,2942.0,6862.0
21,0,128.0,16.0,64.0,6.0,5020.0,3679.0
8,0,128.0,16.0,48.0,6.0,4200.0,3039.0
21,0,128.0,13.0,48.0,4.0,5020.0,26.0
21,0,64.0,13.0,48.0,3.0,5020.0,2799.0
17,0,128.0,40.0,108.0,12.0,5000.0,10579.0
1,1,128.0,12.0,12.0,4.0,3046.0,8099.0
21,0,64.0,13.0,48.0,4.0,4000.0,2589.0
20,0,8.0,5.0,8.0,1.0,2350.0,1179.0
21,0,128.0,16.0,64.0,6.0,5260.0,4099.0
21,0,128.0,16.0,64.0,6.0,5020.0,3679.0
17,0,16.0,5.0,13.0,2.0,3000.0,2.0
5,0,64.0,8.0,13.0,4.0,4000.0,2033.0
13,0,128.0,16.0,48.0,4.0,4880.0,3028.0
13,0,128.0,16.0,48.0,8.0,4000.0,3215.0
13,0,128.0,16.0,48.0,8.0,4015.0,3580.0
17,0,16.0,5.0,13.0,2.0,3000.0,2019.0
1,1,128.0,7.0,12.0,3.0,2691.0,6279.0
21,0,64.0,16.0,64.0,6.0,5020.0,34.0
8,0,128.0,16.0,48.0,6.0,4200.0,3039.0
1,1,64.0,12.0,12.0,4.0,3046.0,7559.0
8,0,32.0,8.0,13.0,2.0,3020.0,1625.0
21,0,128.0,13.0,48.0,4.0,5020.0,30.0
21,0,128.0,16.0,64.0,6.0,5260.0,4099.0
21,0,64.0,16.0,48.0,4.0,5020.0,3.0
21,0,64.0,16.0,64.0,6.0,5260.0,3849.0
21,0,128.0,13.0,48.0,4.0,5020.0,2949.0
17,0,64.0,13.0,48.0,4.0,5000.0,2689.0
17,0,32.0,8.0,13.0,2.0,4000.0,2279.0
13,0,128.0,16.0,48.0,4.0,4880.0,3028.0
13,0,32.0,12.0,12.0,2.0,5000.0,2499.0
3,0,128.0,25.0,48.0,6.0,4510.0,3381.0
13,0,32.0,8.0,13.0,3.0,4230.0,2199.0
18,0,64.0,16.0,48.0,6.0,4500.0,35.0
13,0,64.0,8.0,12.0,4.0,4230.0,2539.0
21,0,128.0,20.0,64.0,6.0,4500.0,3340.0
1,1,32.0,7.0,12.0,2.0,1960.0,4125.0
13,0,128.0,16.0,48.0,8.0,4025.0,3360.0
1,1,256.0,12.0,12.0,4.0,3110.0,8979.0
2,0,8.0,2.0,5.0,1.0,2250.0,990.0
10,0,128.0,16.0,48.0,4.0,4000.0,2829.0
8,0,128.0,16.0,48.0,4.0,4000.0,2581.0
17,0,128.0,32.0,12.0,6.0,4500.0,6499.0
10,0,32.0,8.0,13.0,3.0,4000.0,2599.0
1,1,512.0,12.0,12.0,4.0,3969.0,15575.0
1,1,64.0,12.0,12.0,4.0,3190.0,114199.0
21,0,128.0,13.0,48.0,4.0,5020.0,30.0
3,0,128.0,25.0,48.0,6.0,4510.0,3114.0
13,0,128.0,16.0,48.0,8.0,4025.0,3169.0
17,0,32.0,8.0,13.0,2.0,4000.0,2251.0
1,1,64.0,7.0,12.0,3.0,2942.0,6557.0
8,0,32.0,8.0,13.0,2.0,3020.0,2039.0
1,1,128.0,7.0,12.0,3.0,1821.0,5538.0
8,0,128.0,16.0,48.0,6.0,4200.0,3039.0
17,0,32.0,8.0,13.0,3.0,5000.0,2249.0
21,0,64.0,5.0,13.0,3.0,5000.0,2599.0
1,1,128.0,12.0,12.0,4.0,3046.0,8099.0
18,0,64.0,16.0,48.0,6.0,4500.0,35.0
3,0,128.0,25.0,48.0,6.0,4510.0,3381.0
5,0,64.0,8.0,13.0,4.0,4000.0,1873.0
17,0,256.0,10.0,64.0,8.0,4300.0,8959.0
20,0,128.0,8.0,16.0,4.0,3500.0,2669.0
8,0,64.0,8.0,48.0,4.0,4000.0,25899.0
21,0,64.0,16.0,48.0,4.0,5020.0,3.0
21,0,64.0,16.0,64.0,6.0,5260.0,3849.0
21,0,128.0,13.0,48.0,4.0,5020.0,2949.0
17,0,64.0,13.0,48.0,4.0,5000.0,2689.0
17,0,32.0,8.0,13.0,2.0,4000.0,2279.0
13,0,128.0,16.0,48.0,4.0,4880.0,3028.0
13,0,32.0,12.0,12.0,2.0,5000.0,2499.0
3,0,128.0,25.0,48.0,6.0,4510.0,3381.0
13,0,32.0,8.0,13.0,3.0,4230.0,2199.0
18,0,64.0,16.0,48.0,6.0,4500.0,35.0
13,0,64.0,8.0,12.0,4.0,4230.0,2539.0
1,1,64.0,12.0,12.0,4.0,3046.0,7559.0
17,0,64.0,16.0,25.0,4.0,4000.0,2829.0
1,1,128.0,7.0,12.0,3.0,1821.0,5690.0
1,1,128.0,7.0,12.0,3.0,2691.0,6279.0
1,1,32.0,7.0,12.0,2.0,1960.0,4125.0
1,1,256.0,12.0,12.0,4.0,3110.0,8979.0
2,0,8.0,2.0,5.0,1.0,2250.0,990.0
10,0,128.0,16.0,48.0,4.0,4000.0,2829.0
8,0,128.0,16.0,48.0,4.0,4000.0,2581.0
17,0,128.0,32.0,12.0,6.0,4500.0,6499.0
10,0,32.0,8.0,13.0,3.0,4000.0,2599.0
1,1,512.0,12.0,12.0,4.0,3969.0,15575.0
1,1,64.0,12.0,12.0,4.0,3190.0,114199.0
21,0,128.0,13.0,48.0,4.0,5020.0,30.0
3,0,128.0,25.0,48.0,6.0,4510.0,3114.0
13,0,128.0,16.0,48.0,8.0,4025.0,3169.0
17,0,32.0,8.0,13.0,2.0,4000.0,2251.0
1,1,64.0,7.0,12.0,3.0,2942.0,6557.0
8,0,32.0,8.0,13.0,2.0,3020.0,2039.0
1,1,128.0,7.0,12.0,3.0,1821.0,5538.0
8,0,128.0,16.0,48.0,6.0,4200.0,3039.0
17,0,32.0,8.0,13.0,3.0,5000.0,2249.0
21,0,64.0,5.0,13.0,3.0,5000.0,2599.0
1,1,128.0,12.0,12.0,4.0,3046.0,8099.0
18,0,64.0,16.0,48.0,6.0,4500.0,35.0
3,0,128.0,25.0,48.0,6.0,4510.0,3381.0
5,0,64.0,8.0,13.0,4.0,4000.0,1873.0
17,0,256.0,10.0,64.0,8.0,4300.0,8959.0
21,0,64.0,16.0,48.0,4.0,5020.0,3.0
21,0,64.0,16.0,64.0,6.0,5260.0,3849.0
21,0,128.0,13.0,48.0,4.0,5020.0,2949.0
17,0,64.0,13.0,48.0,4.0,5000.0,2689.0
17,0,32.0,8.0,13.0,2.0,4000.0,2279.0
13,0,128.0,16.0,48.0,4.0,4880.0,3028.0
13,0,32.0,12.0,12.0,2.0,5000.0,2499.0
3,0,128.0,25.0,48.0,6.0,4510.0,3381.0
13,0,32.0,8.0,13.0,3.0,4230.0,2199.0
18,0,64.0,16.0,48.0,6.0,4500.0,35.0
13,0,64.0,8.0,12.0,4.0,4230.0,2539.0
17,0,64.0,20.0,48.0,4.0,6000.0,2549.0
17,0,32.0,8.0,13.0,2.0,4000.0,2251.0
13,0,128.0,16.0,48.0,8.0,4000.0,3255.0
1,1,128.0,12.0,12.0,4.0,3046.0,8099.0
12,0,32.0,8.0,13.0,3.0,4000.0,1849.0
13,0,128.0,32.0,48.0,8.0,4015.0,46.0
1,1,64.0,12.0,12.0,4.0,3046.0,7559.0
21,0,64.0,16.0,48.0,4.0,5020.0,3069.0
16,0,64.0,8.0,13.0,4.0,4680.0,1830.0
17,0,256.0,10.0,108.0,8.0,4500.0,116.0
17,0,256.0,10.0,64.0,8.0,4300.0,9299.0
17,0,32.0,8.0,13.0,3.0,4000.0,2714.0
8,0,16.0,5.0,13.0,2.0,3020.0,19.0
21,0,32.0,8.0,12.0,3.0,5000.0,2199.0
21,0,32.0,8.0,12.0,2.0,5000.0,2099.0
1,1,128.0,7.0,12.0,3.0,2691.0,6279.0
8,0,32.0,8.0,13.0,3.0,3020.0,2015.0
13,0,128.0,16.0,48.0,8.0,4015.0,3367.0
1,1,64.0,12.0,12.0,4.0,3046.0,7559.0
21,0,32.0,5.0,13.0,2.0,5000.0,2173.0
17,0,64.0,13.0,48.0,4.0,5000.0,2664.0
17,0,64.0,16.0,25.0,4.0,4000.0,2829.0
13,0,32.0,5.0,13.0,3.0,4230.0,2249.0
8,0,32.0,8.0,13.0,3.0,3020.0,2015.0
17,0,64.0,20.0,48.0,4.0,6000.0,2549.0
17,0,128.0,20.0,48.0,4.0,5000.0,2949.0
17,0,128.0,32.0,48.0,6.0,4000.0,3469.0
21,0,64.0,16.0,48.0,4.0,5020.0,3.0
21,0,64.0,16.0,64.0,6.0,5260.0,3849.0
21,0,128.0,13.0,48.0,4.0,5020.0,2949.0
17,0,64.0,13.0,48.0,4.0,5000.0,2689.0
17,0,32.0,8.0,13.0,2.0,4000.0,2279.0
13,0,128.0,16.0,48.0,4.0,4880.0,3028.0
13,0,32.0,12.0,12.0,2.0,5000.0,2499.0
3,0,128.0,25.0,48.0,6.0,4510.0,3381.0
13,0,32.0,8.0,13.0,3.0,4230.0,2199.0
18,0,64.0,16.0,48.0,6.0,4500.0,35.0
13,0,64.0,8.0,12.0,4.0,4230.0,2539.0
1,1,32.0,7.0,12.0,2.0,1960.0,4125.0
17,0,128.0,10.0,12.0,12.0,4500.0,7999.0
17,0,128.0,32.0,12.0,6.0,4500.0,6499.0
17,0,256.0,10.0,12.0,12.0,4300.0,7999.0
17,0,128.0,32.0,12.0,6.0,4500.0,6499.0
7,0,64.0,5.0,13.0,3.0,3020.0,1820.0
14,0,64.0,5.0,13.0,3.0,4000.0,2199.0
1,1,256.0,12.0,12.0,4.0,3110.0,8979.0
17,0,128.0,32.0,64.0,8.0,4500.0,4039.0
10,0,128.0,16.0,48.0,4.0,4000.0,2989.0
1,1,128.0,7.0,12.0,3.0,2691.0,6279.0
17,0,128.0,32.0,48.0,6.0,4000.0,3599.0
13,0,256.0,32.0,48.0,8.0,4000.0,6549.0
13,0,128.0,16.0,48.0,8.0,4015.0,3367.0
1,1,64.0,12.0,12.0,4.0,3190.0,113819.0
17,0,32.0,8.0,13.0,3.0,3300.0,2199.0
5,0,64.0,8.0,13.0,3.0,4000.0,2.0
21,0,64.0,13.0,48.0,3.0,5020.0,2799.0
21,0,64.0,20.0,64.0,6.0,4500.0,3319.0
17,0,64.0,20.0,48.0,4.0,6000.0,2549.0
21,0,64.0,16.0,64.0,6.0,5260.0,3919.0
17,0,128.0,40.0,108.0,12.0,5000.0,12199.0
21,0,64.0,13.0,48.0,4.0,4000.0,2834.0
17,0,128.0,32.0,48.0,8.0,4500.0,5999.0
8,0,32.0,8.0,13.0,2.0,3020.0,1850.0
21,0,64.0,16.0,48.0,4.0,5020.0,3.0
21,0,64.0,16.0,64.0,6.0,5260.0,3849.0
21,0,128.0,13.0,48.0,4.0,5020.0,2949.0
17,0,64.0,13.0,48.0,4.0,5000.0,2689.0
17,0,32.0,8.0,13.0,2.0,4000.0,2279.0
13,0,128.0,16.0,48.0,4.0,4880.0,3028.0
13,0,32.0,12.0,12.0,2.0,5000.0,2499.0
3,0,128.0,25.0,48.0,6.0,4510.0,3381.0
13,0,32.0,8.0,13.0,3.0,4230.0,2199.0
18,0,64.0,16.0,48.0,6.0,4500.0,35.0
13,0,64.0,8.0,12.0,4.0,4230.0,2539.0
1,1,128.0,12.0,12.0,4.0,3046.0,8099.0
13,0,128.0,32.0,48.0,8.0,4015.0,46.0
17,0,32.0,8.0,13.0,2.0,4000.0,2251.0
8,0,128.0,16.0,48.0,4.0,4000.0,3290.0
21,0,64.0,16.0,48.0,4.0,5020.0,3069.0
5,0,32.0,12.0,5.0,3.0,3450.0,2099.0
1,1,128.0,7.0,12.0,3.0,2691.0,6279.0
21,0,32.0,5.0,13.0,2.0,5000.0,2173.0
17,0,128.0,32.0,48.0,6.0,4000.0,3469.0
16,0,64.0,8.0,13.0,4.0,4680.0,1830.0
14,0,128.0,16.0,64.0,4.0,4300.0,2849.0
17,0,32.0,8.0,13.0,3.0,4000.0,2714.0
21,0,64.0,20.0,64.0,6.0,4500.0,3250.0
16,0,16.0,5.0,8.0,3.0,4080.0,14.0
17,0,32.0,8.0,13.0,2.0,4000.0,2251.0
13,0,128.0,16.0,48.0,8.0,4000.0,3215.0
21,0,32.0,8.0,12.0,3.0,5000.0,2199.0
1,1,128.0,7.0,12.0,3.0,2691.0,6279.0
8,0,32.0,8.0,13.0,3.0,4000.0,1799.0
21,0,64.0,13.0,48.0,3.0,5020.0,2799.0
1,1,256.0,12.0,12.0,4.0,3969.0,15899.0
5,0,16.0,5.0,13.0,2.0,4000.0,1798.0
13,0,32.0,8.0,13.0,3.0,4230.0,2199.0
1,1,64.0,7.0,12.0,3.0,2942.0,6557.0
21,0,32.0,8.0,12.0,2.0,5000.0,2095.0
21,0,64.0,16.0,48.0,4.0,5020.0,3.0
21,0,64.0,16.0,64.0,6.0,5260.0,3849.0
21,0,128.0,13.0,48.0,4.0,5020.0,2949.0
17,0,64.0,13.0,48.0,4.0,5000.0,2689.0
17,0,32.0,8.0,13.0,2.0,4000.0,2279.0
13,0,128.0,16.0,48.0,4.0,4880.0,3028.0
13,0,32.0,12.0,12.0,2.0,5000.0,2499.0
3,0,128.0,25.0,48.0,6.0,4510.0,3381.0
13,0,32.0,8.0,13.0,3.0,4230.0,2199.0
18,0,64.0,16.0,48.0,6.0,4500.0,35.0
13,0,64.0,8.0,12.0,4.0,4230.0,2539.0
1,1,128.0,7.0,12.0,3.0,2691.0,6279.0
1,1,64.0,12.0,12.0,4.0,3046.0,7559.0
1,1,128.0,7.0,12.0,3.0,1821.0,5690.0
8,0,32.0,8.0,13.0,3.0,3020.0,2015.0
8,0,128.0,16.0,48.0,6.0,4000.0,2989.0
8,0,64.0,8.0,48.0,4.0,4000.0,29.0
13,0,128.0,32.0,48.0,4.0,4035.0,3540.0
13,0,64.0,8.0,12.0,4.0,4230.0,2560.0
1,1,64.0,12.0,12.0,4.0,3969.0,12949.0
17,0,16.0,13.0,13.0,3.0,3600.0,2099.0
10,0,16.0,13.0,13.0,2.0,2800.0,1089.0
17,0,128.0,32.0,32.0,6.0,4500.0,3739.0
16,0,64.0,8.0,13.0,4.0,4680.0,1849.0
13,0,128.0,16.0,48.0,4.0,5000.0,2999.0
8,0,32.0,8.0,13.0,2.0,3020.0,2230.0
13,0,32.0,5.0,13.0,3.0,4230.0,2249.0
17,0,128.0,32.0,48.0,8.0,4500.0,6049.0
17,0,256.0,10.0,64.0,8.0,4300.0,8959.0
21,0,32.0,8.0,12.0,3.0,5000.0,2269.0
17,0,64.0,20.0,48.0,4.0,6000.0,2549.0
17,0,128.0,20.0,48.0,4.0,5000.0,2949.0
